SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,Tenure_MonthlyCharges,AvgMonthlyCharge,Log_TotalCharges,TenureGroup,IsSeniorCitizen,HasDependentsAndPartner,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,29.85,29.85,0,29.85,29.85,3.4291367503513968,0,0,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,34,56.95,1889.5,0,1936.3000000000002,55.5735294117647,7.544596623330987,2,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,2,53.85,108.15,1,107.7,54.075,4.692723082995953,0,0,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,45,42.3,1840.75,0,1903.4999999999998,40.90555555555556,7.518471485562923,2,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
0,2,70.7,151.65,1,141.4,75.825,5.028147719180887,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,8,99.65,820.5,1,797.2,102.5625,6.711131937477322,0,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,22,89.1,1949.4,0,1960.1999999999998,88.60909090909091,7.575789758727007,1,0,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
0,10,29.75,301.9,0,297.5,30.189999999999998,5.713402718033191,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,28,104.8,3046.05,1,2934.4,108.78750000000001,8.02192918843427,2,0,0,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,62,56.15,3487.95,0,3481.2999999999997,56.25725806451613,8.15735611033029,4,0,0,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,13,49.95,587.45,0,649.35,45.18846153846154,6.377491961323671,1,0,0,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,16,18.95,326.8,0,303.2,20.425,5.792403666309729,1,0,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,58,100.35,5681.1,0,5820.299999999999,97.95,8.645076161696084,3,0,0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
0,49,103.7,5036.3,1,5081.3,102.78163265306122,8.524625503233533,3,0,0,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0,25,105.5,2686.05,0,2637.5,107.44200000000001,7.8961992165555,2,0,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,69,113.25,7895.15,0,7814.25,114.42246376811593,8.974130577893364,4,0,0,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,52,20.65,1022.95,0,1073.8,19.672115384615385,6.931422976282321,3,0,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,71,106.7,7382.25,0,7575.7,103.97535211267606,8.906969200059761,4,0,0,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
0,10,55.2,528.35,1,552.0,52.835,6.271649838789389,0,0,0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
0,21,90.05,1862.9,0,1891.05,88.70952380952382,7.530426345737758,1,0,0,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
1,1,39.65,39.65,1,39.65,39.65,3.7049988359938197,0,1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
0,12,19.8,202.25,0,237.60000000000002,16.854166666666668,5.31443674842792,0,0,0,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,1,20.15,20.15,1,20.15,20.15,3.0516399054922867,0,0,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,58,59.9,3505.1,0,3474.2,60.432758620689654,8.16225958760722,3,0,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False
0,49,59.6,2970.3,0,2920.4,60.61836734693878,7.996754846467186,3,0,0,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,30,55.3,1530.6,0,1659.0,51.019999999999996,7.3340682196031395,2,0,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,47,99.35,4749.15,1,4669.45,101.04574468085106,8.46593147547745,2,0,0,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,1,30.2,30.2,1,30.2,30.2,3.4404180948154366,0,0,0,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,72,90.25,6369.45,0,6498.0,88.46458333333334,8.759425389713137,4,0,0,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,17,64.7,1093.1,1,1099.9,64.3,6.9976873864827445,1,0,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
1,71,96.35,6766.95,0,6840.849999999999,95.30915492957746,8.819953513551914,4,1,0,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False
1,2,95.5,181.65,0,191.0,90.825,5.207571753241291,0,1,0,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False
0,27,66.15,1874.45,0,1786.0500000000002,69.42407407407407,7.536603909609118,2,0,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True
0,1,20.2,20.2,0,20.2,20.2,3.054001181677967,0,0,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
1,1,45.25,45.25,0,45.25,45.25,3.834061463958434,0,1,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,72,99.9,7251.7,0,7192.8,100.71805555555555,8.88912909231302,4,0,0,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
0,5,69.7,316.9,1,348.5,63.379999999999995,5.761736867916757,0,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,46,74.8,3548.3,0,3440.7999999999997,77.13695652173914,8.174505679927726,2,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
0,34,106.35,3549.25,1,3615.8999999999996,104.38970588235294,8.174773302525123,2,0,0,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,11,97.85,1105.4,1,1076.35,100.4909090909091,7.008866780350549,0,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0,10,49.55,475.7,0,495.5,47.57,6.16688736221078,0,0,0,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0,70,69.2,4872.35,0,4844.0,69.605,8.491536864602452,4,0,0,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False
0,17,20.75,418.25,0,352.75,24.602941176470587,6.038467400703318,1,0,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,63,79.85,4861.45,0,5030.549999999999,77.16587301587302,8.489297705097483,4,0,0,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False
0,13,76.2,981.45,0,990.6,75.49615384615385,6.890049451863205,1,0,0,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False
0,49,84.5,3906.7,0,4140.5,79.72857142857143,8.270704244607035,3,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
0,2,49.25,97.0,0,98.5,48.5,4.584967478670572,0,0,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,2,80.65,144.15,1,161.3,72.075,4.977767690470639,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,52,79.75,4217.8,0,4147.0,81.11153846153846,8.347306006402459,3,0,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
0,69,64.15,4254.1,0,4426.35,61.6536231884058,8.355873542493944,4,0,0,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False
1,43,90.25,3838.75,0,3880.75,89.27325581395348,8.253162539295738,2,1,0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,15,99.1,1426.4,1,1486.5,95.09333333333333,7.263609886536967,1,0,0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
1,25,69.5,1752.65,0,1737.5,70.10600000000001,7.4694546091209375,2,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
1,8,80.65,633.3,1,645.2,79.1625,6.4525220286398515,0,1,0,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
1,60,74.85,4456.35,0,4491.0,74.27250000000001,8.402309698021336,3,1,0,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False
1,18,95.45,1752.55,1,1718.1000000000001,97.36388888888888,7.4693975835734765,1,1,0,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,63,99.65,6311.2,0,6277.950000000001,100.17777777777778,8.750239547701803,4,0,0,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False
1,66,108.45,7076.35,0,7157.7,107.21742424242424,8.864654822837052,4,1,0,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False
0,34,24.95,894.3,0,848.3,26.302941176470586,6.7971588576401105,2,0,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,72,107.5,7853.7,0,7740.0,109.07916666666667,8.968867357726134,4,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,47,100.5,4707.1,0,4723.5,100.15106382978725,8.457039708596394,2,0,0,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,60,89.9,5450.7,0,5394.0,90.845,8.603682765623805,3,0,0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0,72,42.1,2962.0,0,3031.2000000000003,41.138888888888886,7.993957547573565,4,0,0,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,18,54.4,957.1,0,979.1999999999999,53.172222222222224,6.864952156656828,1,0,0,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False
0,9,94.4,857.25,1,849.6,95.25,6.754895432337801,0,0,0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
0,3,75.3,244.1,0,225.89999999999998,81.36666666666666,5.501666290534067,0,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False
0,47,78.9,3650.35,0,3708.3,77.66702127659575,8.202852241207772,2,0,0,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
0,31,79.2,2497.2,0,2455.2000000000003,80.55483870967741,7.823325751531809,2,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,50,20.15,930.9,0,1007.4999999999999,18.618,6.83722551279161,3,0,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
0,10,79.85,887.35,0,798.5,88.735,6.789365809481915,0,0,0,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0,1,49.05,49.05,0,49.05,49.05,3.9130225057612296,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,52,20.4,1090.65,0,1060.8,20.974038461538463,6.995445592109125,3,0,0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
1,64,111.6,7099.0,0,7142.4,110.921875,8.867850063029406,4,1,0,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False
0,62,24.25,1424.6,0,1503.5,22.97741935483871,7.262348056716545,4,0,0,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False
0,3,64.5,177.4,0,193.5,59.13333333333333,5.184028220145909,0,0,0,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1,56,110.5,6139.5,0,6188.0,109.63392857142857,8.722661451050438,3,1,0,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False
0,46,55.65,2688.85,0,2559.9,58.45326086956521,7.8972407089593375,2,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
0,8,54.65,482.25,0,437.2,60.28125,6.18053411808844,0,0,0,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,30,74.75,2111.3,0,2242.5,70.37666666666668,7.655532680193197,2,1,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,45,25.9,1216.6,0,1165.5,27.035555555555554,7.104636987107422,2,0,0,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,1,79.35,79.35,1,79.35,79.35,4.386392092183521,0,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,11,50.55,565.35,0,556.05,51.39545454545455,6.339212261646723,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
0,7,75.15,496.9,1,526.0500000000001,70.98571428571428,6.210399253648137,0,0,0,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
